"","station","station_id","line_name","entry_exits_period","mean_hourly_entries","mean_hourly_exits"
"467","3 AVE","L05","L","12:16",268.925,321.775
"468","3 AVE","L05","L","16:20",597.475,459.35
"469","3 AVE","L05","L","20:0",479.4,338.2
"470","3 AVE","L05","L","4:8",42.1,71.225
"471","3 AVE","L05","L","8:12",146.675,442.925
"472","33 ST","632","6","0:4",950.825,485.625
"473","33 ST","632","6","12:16",1665.05,1222.825
"474","33 ST","632","6","16:20",2723.525,1385.45
"475","33 ST","632","6","4:8",286.05,582.3
"476","33 ST","632","6","8:12",1320.525,2006.6
"477","33 ST/RAWSON ST","716","7","0:4",36.6,28.2
"478","33 ST/RAWSON ST","716","7","12:16",668.475,310.4
"479","33 ST/RAWSON ST","716","7","16:20",1196.15,248.65
"480","33 ST/RAWSON ST","716","7","20:0",298.425,75.35
"481","33 ST/RAWSON ST","716","7","4:8",54.175,172.525
"482","33 ST/RAWSON ST","716","7","8:12",207.4,904.35
"483","34 ST-HERALD SQ","D17","BDFMNQR","0:4",1076.825,543.3
"484","34 ST-HERALD SQ","D17","BDFMNQR","12:16",4944.325,5362.025
"485","34 ST-HERALD SQ","D17","BDFMNQR","16:20",11125.35,7990.2
"486","34 ST-HERALD SQ","D17","BDFMNQR","20:0",5539.25,3043.35
"487","34 ST-HERALD SQ","D17","BDFMNQR","4:8",530.05,916.425
"488","34 ST-HERALD SQ","D17","BDFMNQR","8:12",4420.35,7492.6
"489","34 ST-PENN STA","128","123","0:4",1356.975,851.05
"490","34 ST-PENN STA","128","123","12:16",3750.125,2935.425
"491","34 ST-PENN STA","128","123","16:20",4931.4,5691.875
"492","34 ST-PENN STA","128","123","20:0",3969.2,4363.725
"493","34 ST-PENN STA","128","123","4:8",601.325,411.8
"494","34 ST-PENN STA","128","123","8:12",6191.075,2390.15
"495","34 ST-PENN STA","A28","ACE","0:4",1739.975,1179.2
"496","34 ST-PENN STA","A28","ACE","12:16",5876.95,4695.5
"497","34 ST-PENN STA","A28","ACE","16:20",7941.675,9424.3
"498","34 ST-PENN STA","A28","ACE","20:0",5639.5,5728.1
"499","34 ST-PENN STA","A28","ACE","4:8",1199.9,865.725
"500","34 ST-PENN STA","A28","ACE","8:12",9526.675,5109.85
"501","36 ST","G20","EMR","0:4",68.825,61.65
"502","36 ST","G20","EMR","12:16",279.35,166.025
