"","station","station_id","entry_exits_period","hourly_entries","hourly_exits"
"441","25 ST","R35","20:0",994,1678.25
"442","25 ST","R35","4:8",550.75,462.75
"443","25 ST","R35","8:12",2921.5,1625.5
"444","28 ST","129","0:4",4246.5,1865.25
"445","28 ST","129","12:16",7398,4562
"446","28 ST","129","16:20",12558.25,4297
"447","28 ST","129","4:8",823.75,1695.5
"448","28 ST","129","8:12",4765.75,7513
"449","28 ST","633","0:4",7647.5,4871
"450","28 ST","633","12:16",10954,9665.25
"451","28 ST","633","16:20",19788.25,11556.5
"452","28 ST","633","4:8",2197,5877
"453","28 ST","633","8:12",9115.5,18889.5
"454","28 ST-BROADWAY","R18","0:4",1060.5,640.5
"455","28 ST-BROADWAY","R18","12:16",5572.75,6790.25
"456","28 ST-BROADWAY","R18","16:20",11955.75,7796.75
"457","28 ST-BROADWAY","R18","20:0",5094,3213.5
"458","28 ST-BROADWAY","R18","4:8",271.5,1226
"459","28 ST-BROADWAY","R18","8:12",3230.25,11014.75
"460","3 AVE","L05","0:4",1731.5,861
"461","3 AVE","L05","12:16",2689.25,3217.75
"462","3 AVE","L05","16:20",5974.75,4593.5
"463","3 AVE","L05","20:0",4794,3382
"464","3 AVE","L05","4:8",421,712.25
"465","3 AVE","L05","8:12",1466.75,4429.25
"466","33 ST","632","0:4",9508.25,4856.25
"467","33 ST","632","12:16",16650.5,12228.25
"468","33 ST","632","16:20",27235.25,13854.5
"469","33 ST","632","4:8",2860.5,5823
"470","33 ST","632","8:12",13205.25,20066
"471","33 ST/RAWSON ST","716","0:4",366,282
"472","33 ST/RAWSON ST","716","12:16",6684.75,3104
"473","33 ST/RAWSON ST","716","16:20",11961.5,2486.5
"474","33 ST/RAWSON ST","716","20:0",2984.25,753.5
"475","33 ST/RAWSON ST","716","4:8",541.75,1725.25
"476","33 ST/RAWSON ST","716","8:12",2074,9043.5
"477","34 ST-HERALD SQ","D17","0:4",10768.25,5433
"478","34 ST-HERALD SQ","D17","12:16",49443.25,53620.25
"479","34 ST-HERALD SQ","D17","16:20",111253.5,79902
"480","34 ST-HERALD SQ","D17","20:0",55392.5,30433.5
"481","34 ST-HERALD SQ","D17","4:8",5300.5,9164.25
"482","34 ST-HERALD SQ","D17","8:12",44203.5,74926
"483","34 ST-PENN STA","128","0:4",13569.75,8510.5
"484","34 ST-PENN STA","128","12:16",37501.25,29354.25
"485","34 ST-PENN STA","128","16:20",49314,56918.75
"486","34 ST-PENN STA","128","20:0",39692,43637.25
"487","34 ST-PENN STA","128","4:8",6013.25,4118
"488","34 ST-PENN STA","128","8:12",61910.75,23901.5
"489","34 ST-PENN STA","A28","0:4",17399.75,11792
"490","34 ST-PENN STA","A28","12:16",58769.5,46955
"491","34 ST-PENN STA","A28","16:20",79416.75,94243
"492","34 ST-PENN STA","A28","20:0",56395,57281
"493","34 ST-PENN STA","A28","4:8",11999,8657.25
"494","34 ST-PENN STA","A28","8:12",95266.75,51098.5
"495","36 ST","G20","0:4",688.25,616.5
"496","36 ST","G20","12:16",2793.5,1660.25
"497","36 ST","G20","16:20",4448.75,1018.25
"498","36 ST","G20","4:8",564.5,1279.75
"499","36 ST","G20","8:12",1851.25,3164.25
"500","36 ST","R36","0:4",2198.5,3446.25
"501","36 ST","R36","12:16",5799.25,3441
"502","36 ST","R36","16:20",8368,5333.25
"503","36 ST","R36","4:8",4141,1733.75
"504","36 ST","R36","8:12",6680,3777.75
"505","4 AVE","F23","0:4",285.5,585.5
"506","4 AVE","F23","12:16",1574.75,1587
"507","4 AVE","F23","16:20",2804.75,3604.5
"508","4 AVE","F23","20:0",1195,2257.25
"509","4 AVE","F23","4:8",294.5,453.25
"510","4 AVE","F23","8:12",2230.5,2221.5
"511","40 ST-LOWERY ST","715","0:4",481.25,1560
"512","40 ST-LOWERY ST","715","12:16",4765.5,3109
"513","40 ST-LOWERY ST","715","16:20",6100.75,7054.75
"514","40 ST-LOWERY ST","715","20:0",2467.25,4996
"515","40 ST-LOWERY ST","715","4:8",1829.75,1047.5
"516","40 ST-LOWERY ST","715","8:12",8341.5,3570.75
"517","42 ST-BRYANT PK","D16","0:4",4324.75,1372
"518","42 ST-BRYANT PK","D16","12:16",13823.5,17610.5
"519","42 ST-BRYANT PK","D16","16:20",43415.25,18167.25
"520","42 ST-BRYANT PK","D16","20:0",18639,6303
"521","42 ST-BRYANT PK","D16","4:8",908.25,3849.5
"522","42 ST-BRYANT PK","D16","8:12",4650,38464.25
"523","42 ST-GRD CNTRL","631","0:4",20577,13629.25
"524","42 ST-GRD CNTRL","631","12:16",64559.5,55782.5
"525","42 ST-GRD CNTRL","631","16:20",145696.5,79678
"526","42 ST-GRD CNTRL","631","20:0",29741.25,13598.75
"527","42 ST-GRD CNTRL","631","4:8",13190.25,29940.75
"528","42 ST-GRD CNTRL","631","8:12",62350.25,120866.25
"529","42 ST-PA BUS TE","A27","0:4",22749.25,10516
"530","42 ST-PA BUS TE","A27","12:16",35203.75,35266.75
"531","42 ST-PA BUS TE","A27","16:20",52362,67791
"532","42 ST-PA BUS TE","A27","20:0",44741,41610
"533","42 ST-PA BUS TE","A27","4:8",18993.75,6049.75
"534","42 ST-PA BUS TE","A27","8:12",69051.5,27042.5
"535","42 ST-TIMES SQ","127","0:4",17120.25,6217.25
"536","42 ST-TIMES SQ","127","12:16",34820,44733.5
"537","42 ST-TIMES SQ","127","16:20",86191.25,59009.5
"538","42 ST-TIMES SQ","127","20:0",50383.5,25314
"539","42 ST-TIMES SQ","127","4:8",5941.5,7888.25
"540","42 ST-TIMES SQ","127","8:12",24061,64747.25
