"","Train","FromStopID","FromStation","FromLine","ToStopID","ToStation","ToLine","TravelTime"
"338","E","F07","""75 Av""","EF","G08","""Forest Hills - 71 Av""","EFMR",90
"339","E","G08","""Forest Hills - 71 Av""","EFMR","G09","""67 Av""","EMR",90
"340","E","G09","""67 Av""","EMR","G10","""63 Dr - Rego Park""","EMR",120
"341","E","G10","""63 Dr - Rego Park""","EMR","G11","""Woodhaven Blvd""","EMR",60
"342","E","G11","""Woodhaven Blvd""","EMR","G12","""Grand Av - Newtown""","EMR",120
"343","E","G12","""Grand Av - Newtown""","EMR","G13","""Elmhurst Av""","EMR",90
"344","E","G13","""Elmhurst Av""","EMR","G14","""Jackson Hts - Roosevelt Av""","EFMR",90
"345","E","G14","""Jackson Hts - Roosevelt Av""","EFMR","G15","""65 St""","EMR",90
"346","E","G15","""65 St""","EMR","G16","""Northern Blvd""","EMR",90
"347","E","G16","""Northern Blvd""","EMR","G18","""46 St""","EMR",90
"348","E","G18","""46 St""","EMR","G19","""Steinway St""","EMR",90
"349","E","G19","""Steinway St""","EMR","G20","""36 St""","EMR",120
"350","E","G20","""36 St""","EMR","G21","""Queens Plaza""","EMR",120
"351","E","G21","""Queens Plaza""","EMR","F09","""Court Sq""","EM",90
"352","E","F09","""Court Sq""","EM","F11","""Lexington Av/53 St""","EM",180
"353","E","F11","""Lexington Av/53 St""","EM","F12","""5 Av/53 St""","EM",90
"354","E","F12","""5 Av/53 St""","EM","D14","""7 Av""","BDE",90
"355","E","D14","""7 Av""","BDE","A25","""50 St""","ACE",90
"356","E","A25","""50 St""","ACE","A27","""42 St - Port Authority Bus Terminal""","ACE",120
"357","E","A27","""42 St - Port Authority Bus Terminal""","ACE","A28","""34 St - Penn Station""","ACE",60
"358","E","A28","""34 St - Penn Station""","ACE","A30","""23 St""","ACE",90
"359","E","A30","""23 St""","ACE","A31","""14 St""","ACE",90
"360","E","A31","""14 St""","ACE","A32","""W 4 St""","ACE",120
"361","E","A32","""W 4 St""","ACE","A33","""Spring St""","ACE",90
"362","E","A33","""Spring St""","ACE","A34","""Canal St""","ACE",90
"363","E","A34","""Canal St""","ACE","E01","""World Trade Center""","E",120
"365","F","F01","""Jamaica - 179 St""","F","F02","""169 St""","F",90
"366","F","F02","""169 St""","F","F03","""Parsons Blvd""","F",120
"367","F","F03","""Parsons Blvd""","F","F04","""Sutphin Blvd""","F",60
"368","F","F04","""Sutphin Blvd""","F","F05","""Briarwood - Van Wyck Blvd""","EF",120
"369","F","F05","""Briarwood - Van Wyck Blvd""","EF","F06","""Kew Gardens - Union Tpke""","EF",90
"370","F","F06","""Kew Gardens - Union Tpke""","EF","F07","""75 Av""","EF",90
"371","F","F07","""75 Av""","EF","G08","""Forest Hills - 71 Av""","EFMR",120
"372","F","G08","""Forest Hills - 71 Av""","EFMR","G14","""Jackson Hts - Roosevelt Av""","EFMR",420
"373","F","G14","""Jackson Hts - Roosevelt Av""","EFMR","B04","""21 St - Queensbridge""","F",390
"374","F","B04","""21 St - Queensbridge""","F","B06","""Roosevelt Island""","F",120
"375","F","B06","""Roosevelt Island""","F","B08","""Lexington Av/63 St""","F",150
"376","F","B08","""Lexington Av/63 St""","F","B10","""57 St""","F",150
"377","F","B10","""57 St""","F","D15","""47-50 Sts - Rockefeller Ctr""","BDFM",90
"378","F","D15","""47-50 Sts - Rockefeller Ctr""","BDFM","D16","""42 St - Bryant Pk""","BDFM",90
"379","F","D16","""42 St - Bryant Pk""","BDFM","D17","""34 St - Herald Sq""","BDFM",90
"380","F","D17","""34 St - Herald Sq""","BDFM","D18","""23 St""","FM",90
"381","F","D18","""23 St""","FM","D19","""14 St""","FM",90
"382","F","D19","""14 St""","FM","D20","""W 4 St""","BDFM",90
