"nereid av" [5, '"dyre ave"']
"atlantic av - barclays ctr" [18, '"22 ave-bay pky"']
"51 st" [2, '"110 st"']
"grand av - newtown" [10, '"grand army plaz"']
"39 av" [3, '"18 ave"']
"pelham bay park" [13, '"110 st-cathedrl"']
"149 st - grand concourse" [12, '"138 st-gr conc"']
"van cortlandt park - 242 st" [17, '"bronx park east"']
"burnside av" [5, '"burke ave"']
"old town" [7, '"103 st"']
"spring st" [5, '"bergen st"']
"court st" [3, '"clark st"']
"59 st" [2, '"14 st"']
"81 st - museum of natural history" [24, '"14 st-union sq"']
"jamaica center - parsons/archer" [22, '"baychester ave"']
"238 st" [2, '"135 st"']
"42 st - port authority bus terminal" [24, '"40 st-lowery st"']
"2 av" [2, '"1 ave"']
"88 st" [2, '"14 st"']
"59 st - columbus circle" [13, '"116 st-columbia"']
"34 st - penn station" [12, '"14 st-union sq"']
"south ferry loop" [10, '"northern blvd"']
"far rockaway - mott av" [15, '"barclays center"']
"grand army plaza" [9, '"graham ave"']
"14 st - union sq" [9, '"148 st-lenox"']
"aqueduct - n conduit av" [16, '"allerton ave"']
"bedford park blvd - lehman college" [23, '"bedford ave"']
"woodside - 61 st" [10, '"bay ridge-95 st"']
"park pl" [4, '"ave p"']
"hunters point av" [4, '"hunters pt ave"']
"rockaway blvd" [7, '"northern blvd"']
"prospect park" [7, '"morris park"']
"shepherd av" [5, '"sheepshead bay"']
"queens plaza" [7, '"newkirk plaza"']
"avenue x" [4, '"ave h"']
"whitlock av" [7, '"brook ave"']
"191 st" [2, '"103 st"']
"avenue j" [4, '"ave h"']
"161 st - yankee stadium" [15, '"110 st-cathedrl"']
"116 st - columbia university" [19, '"110 st-cathedrl"']
"lexington av/53 st" [10, '"kingston ave"']
"flushing av" [6, '"bushwick ave"']
"west farms sq - e tremont av" [21, '"103 st-corona"']
"kings hwy" [6, '"high st"']
"cortelyou rd" [8, '"carroll st"']
"25 st" [2, '"121 st"']
"40 st" [2, '"103 st"']
"20 av" [3, '"18 ave"']
"9 av" [2, '"1 ave"']
"crescent st" [7, '"beach 25 st"']
"briarwood - van wyck blvd" [16, '"bedford park bl"']
"botanic garden" [10, '"14th street"']
"inwood - 207 st" [9, '"207 st"']
"34 st - herald sq" [9, '"14 st-union sq"']
"ozone park - lefferts blvd" [16, '"bronx park east"']
"eastern pkwy - brooklyn museum" [21, '"brooklyn bridge"']
"53 st" [2, '"103 st"']
"brooklyn bridge - city hall" [17, '"bay ridge-95 st"']
"1 av" [2, '"18 ave"']
"21 st" [2, '"110 st"']
"alabama av" [8, '"14 st-6 ave"']
"cypress av" [6, '"buhre ave"']
"nassau av" [6, '"canal st"']
"myrtle - wyckoff avs" [13, '"castle hill ave"']
"broad channel" [10, '"161 st-yankee"']
"beverley rd" [6, '"bergen st"']
"e 143 st - st mary's st" [15, '"149 st-3 ave"']
"metropolitan av" [10, '"brook ave"']
"court sq" [5, '"canal st"']
"new utrecht av" [7, '"e tremont ave"']
"grant av" [3, '"grand st"']
"smith - 9 sts" [8, '"5 ave-59 st"']
"63 dr - rego park" [12, '"15 st-prospect"']
"steinway st" [6, '"canal st"']
"5 av" [3, '"18 ave"']
"hunts point av" [6, '"hunters pt ave"']
"hoyt st" [4, '"103 st"']
"jackson av" [5, '"classon ave"']
"cathedral pkwy" [8, '"cathedrl-110 st"']
"bowery" [6, '"103 st"']
"183 st" [8]
"gun hill rd" [8, '"canal st"']
"96 st" [2, '"116 st"']
"rockaway park - beach 116 st" [17, '"bronx park east"']
"morgan av" [5, '"bergen st"']
"burke av" [3, '"buhre ave"']
"7 av" [2, '"1 ave"']
"219 st" [2, '"110 st"']
"fulton st" [6, '"103 st"']
"30 av" [3, '"18 ave"']
"beach 98 st" [2, '"beach 25 st"']
"chambers st" [7, '"5 ave-53 st"']
"90 st - elmhurst av" [11, '"34 st-penn sta"']
"pennsylvania av" [10, '"atlantic ave"']
"145 st" [2, '"103 st"']
"central park north (110 st)" [19, '"beach 105 st"']
"castle hill av" [8, '"atlantic ave"']
"junius st" [6, '"103 st"']
"president st" [6, '"bergen st"']
"beach 25 st" [5, '"bay 50 st"']
"canarsie - rockaway pkwy" [13, '"far rockaway"']
"tompkinsville" [10, '"bowling green"']
"jamaica - 179 st" [9, '"beach 105 st"']
"163 st - amsterdam av" [13, '"103 st-corona"']
"beach 90 st" [2, '"beach 105 st"']
"norwood - 205 st" [6, '"inwood-207 st"']
"neck rd" [6, '"103 st"']
"wall st" [4, '"103 st"']
"36 st" [2, '"116 st"']
"parsons blvd" [8, '"brook ave"']
"huguenot" [6, '"bergen st"']
"5 av/59 st" [3, '"5 ave-53 st"']
"lorimer st" [7, '"103 st"']
"myrtle av" [4, '"dyre ave"']
"sterling st" [5, '"bergen st"']
"coney island - stillwell av" [18, '"cleveland st"']
