"","station","station_id","daily_entries","daily_exits"
"263","FAR ROCKAWAY","H11",214.801883589693,228.498924394319
"264","FLATBUSH AVE","247",902.240261080478,581.879666079123
"265","FLUSHING AVE","G31",130.761987970412,127.597108981892
"266","FLUSHING AVE","M12",436.554508932505,154.002068739537
"267","FORDHAM ROAD","407",530.782195578731,113.999823124755
"268","FORDHAM ROAD","D05",538.510183342343,255.967466665029
"269","FOREST AVE","M05",185.405931414662,143.795863346991
"270","FOREST HILLS-71","G08",1268.01206781614,611.426295515834
"271","FOREST PARKWAY","J16",170.44592438394,99.4894840220871
"272","FRANKLIN AVE","239",521.567735262436,403.593379112808
"273","FRANKLIN AVE","A45",298.346029358475,308.997855638919
"274","FRANKLIN ST","136",280.370574590573,148.711158103725
"275","FREEMAN ST","216",216.622438345536,178.482660105758
"276","FRESH POND ROAD","M04",256.158822913913,291.211800599172
"277","FT HAMILTON PKY","B13",194.281713548864,128.439127249006
"278","FT HAMILTON PKY","F26",252.206514300672,85.1886320580614
"279","FT HAMILTON PKY","N03",318.979430181073,171.740755518107
"280","FULTON ST","229",2902.5951868006,2542.85973984492
"281","FULTON ST","G36",231.588223815779,198.046975814241
"282","GATES AVE","J30",287.797564488061,130.660888073839
"283","GRAHAM AVE","L11",459.561747731078,315.439323214968
"284","GRAND ARMY PLAZ","237",342.118287396003,159.818990405454
"285","GRAND AV-NEWTON","G12",771.493518859786,341.835729984001
"286","GRAND ST","D22",1047.93831400988,758.520952280055
"287","GRAND ST","L12",333.450203395306,331.537873380915
"288","GRAND-30 AVE","R04",637.975677511751,581.942423741676
"289","GRANT AVE","A57",288.031845679564,255.715451357848
"290","GREENPOINT AVE","G26",398.581503993748,290.948466422365
"291","GUN HILL ROAD","208",573.221439238151,395.987160938112
"292","GUN HILL ROAD","503",573.221439238151,395.987160938112
"293","HALSEY ST","J29",279.309311061579,134.270137760737
"294","HALSEY ST","L19",341.812353511323,214.783646136223
"295","HEWES ST","M14",136.012300367874,73.3762806745088
"296","HIGH ST","A40",363.896528695627,408.867583781244
"297","HOUSTON ST","134",755.44861578761,450.422552747145
"298","HOYT ST","233",334.461284518214,277.138070407364
"299","HOYT ST-ASTORIA","R03",523.942839918723,419.294704147082
"300","HOYT/SCHERMER","A42",448.395106570893,373.893356689654
"301","HUDSON-80 ST","A59",216.578089454405,174.229521006933
"302","HUNTERS PT AVE","720",297.591811387056,264.41337839721
"303","HUNTS POINT AVE","613",459.435560473778,376.829569934847
"304","INTERVALE-163","218",159.574309447407,154.861424719033
"305","INWOOD-207 ST","A02",436.958515067407,227.677080029077
"306","JACKSON AVE","220",254.305813014101,57.3288283580403
"307","JAMAICA CENTER","G05",129.832207207207,181.982657657658
"308","JAMAICA-179 ST","F01",990.514238015189,446.212878140822
"309","JAMAICA-VAN WYC","G07",227.433175148393,246.577084369068
"310","JAY ST-METROTEC","A41",1901.13295187535,1079.97635327635
"311","JEFFERSON ST","L15",324.998084672955,88.9512194986936
"312","JFK HOWARD BCH","H03",203.307642307443,147.526895312861
"313","JFK JAMAICA CT1","G05",1931.23365825183,1519.38119768262
"314","JUNCTION BLVD","707",912.963698345084,837.538585120447
"315","JUNIUS ST","254",118.946105684489,51.377821435566
"316","KINGS HIGHWAY","D35",833.144310805651,790.456441830411
"317","KINGS HIGHWAY","F35",167.169961150532,177.01948122872
"318","KINGS HIGHWAY","N08",238.680566765201,176.522956523183
"319","KINGSBRIDGE RD","406",450.87102654494,270.959156177499
"320","KINGSBRIDGE RD","D04",353.176488519197,290.964487697163
"321","KINGSTON AVE","249",219.380814850176,201.318723070897
"322","KINGSTON-THROOP","A47",272.26067551777,228.446415125504
"323","KNICKERBOCKER","M09",177.772951361353,192.145898317032
"324","KOSCIUSZKO ST","J31",218.339717706406,102.30100697198
"325","LAFAYETTE AVE","A43",227.733380816714,105.244966694693
"326","LEXINGTON AVE","B08",636.518484214891,633.319537880272
"327","LEXINGTON AVE","R11",0,0
